artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,is_local
Korn,Follow The Leader,Freak On a Leash,6W21LNLz9Sw7sUSNWMSHRu,0.353,0.898,2,-5.877,1,0.052,0.105,0.39,0.525,103.293,255733,4,79.0,False
Korn,Issues,Falling Away from Me,2F6FfZ4w8z3eJpSxPotVO5,0.468,0.769,4,-7.036,1,0.041,0.00124,0.271,0.17,104.102,270920,4,75.0,False
Korn,See You On the Other Side,Coming Undone,6p2liQLGoDaLXgND68bfVt,0.687,0.677,2,-4.172,1,0.0508,0.000146,0.0564,0.546,75.052,199773,4,15.0,False
Korn,See You On the Other Side,Twisted Transistor,77VW8u6inET54YAKN1RSnd,0.58,0.983,5,-3.291,0,0.0636,0.00694,0.0801,0.416,110.053,188933,4,1.0,False
Limp Bizkit,Significant Other,Break Stuff,5cZqsjVs6MevCnAkasbEOX,0.432,0.884,8,-6.659,1,0.13,0.000527,0.166,0.624,108.948,166707,4,82.0,False
System Of A Down,Toxicity,Chop Suey!,2DlHlPMa4M17kufBvI2lEN,0.417,0.934,7,-3.908,0,0.119,0.0015,0.132,0.287,127.066,210240,4,86.0,False
Rob Zombie,Hellbilly Deluxe,Dragula,6Nm8h73ycDG2saCnZV8poF,0.591,0.963,0,-6.489,0,0.0531,0.000107,0.0781,0.609,125.03,222827,4,79.0,False
Rammstein,Sehnsucht,Du hast,1dS1SUD3vr0McKwez9MqAY,0.638,0.918,9,-6.294,0,0.0385,0.0706,0.331,0.723,125.066,234227,4,0.0,False
System Of A Down,Toxicity,Toxicity,0snQkGI5qnAmohLE7jTsTn,0.413,0.873,8,-4.151,1,0.0536,0.00249,0.204,0.48,116.68,218933,3,84.0,False
Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),Killing In The Name,59WN2psjkt1tyaxjspN8fp,0.466,0.833,7,-4.215,1,0.304,0.0,0.0327,0.661,88.785,313573,4,82.0,False
Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,My Way,2gSVKxPDww9Eep5rdvtdem,0.576,0.864,6,-3.981,1,0.0462,1.68e-06,0.683,0.609,97.225,272973,4,75.0,False
Saliva,Every Six Seconds,Click Click Boom,1LMVGL3030W3mGmRrd2hCm,0.607,0.935,6,-2.918,1,0.0506,0.000221,0.195,0.51,95.97,252400,4,0.0,False
Rage Against The Machine,Evil Empire,Bulls On Parade,0tZ3mElWcr74OOhKEiNz1x,0.412,0.919,5,-7.291,1,0.184,0.0601,0.424,0.572,166.367,229467,4,77.0,False
Alien Ant Farm,Anthology,Smooth Criminal,5z6xHjCZr7a7AIcy8sPBKy,0.653,0.964,9,-4.261,0,0.0582,0.00512,0.144,0.87,126.928,209267,4,77.0,False
Powerman 5000,Tonight The Stars Revolt,When Worlds Collide,6aF5JtQSrh7wNrkDE9B0My,0.56,0.903,11,-4.77,1,0.0754,0.0,0.291,0.581,143.821,177960,4,68.0,False
P.O.D.,Satellite (U.S. Version),Youth of the Nation,0UrWr7Jnu1heq1o99ZwUd0,0.563,0.86,8,-7.533,1,0.0621,0.0106,0.39,0.517,97.867,256240,4,73.0,False
Rage Against The Machine,The Battle Of Los Angeles,Guerrilla Radio,1wsRitfRRtWyEapl0q22o8,0.599,0.957,11,-5.764,1,0.188,7.06e-05,0.155,0.489,103.68,206200,4,73.0,False
Three Days Grace,Three Days Grace,I Hate Everything About You,0M955bMOoilikPXwKLYpoi,0.498,0.83,6,-5.157,0,0.0421,0.0,0.139,0.453,89.342,231480,4,76.0,False
Godsmack,Godsmack,Voodoo,5uGsG0LfotfWDq6hql4h53,0.778,0.613,10,-9.897,0,0.0488,2.56e-06,0.102,0.853,120.005,282653,4,66.0,False
Godsmack,The Oracle (Deluxe Edition),Cryin' Like A Bitch!!,4a9i7rCLfPjbS1sNamZeQN,0.543,0.808,10,-5.484,1,0.0407,0.00336,0.114,0.472,95.19,201667,4,67.0,False
Staind,Dysfunction,Mudshovel,6264zKFgXM13JuRBX4MMyD,0.328,0.826,6,-5.085,1,0.0362,0.000944,0.0818,0.341,106.606,282093,4,67.0,False
Chevelle,Wonder What's Next (Expanded Edition),Send the Pain Below,6dRAAG4sB71NAtVCHJep7s,0.468,0.851,11,-3.617,1,0.0398,0.00483,0.0644,0.293,92.079,252360,4,67.0,False
Kid Rock,Devil Without a Cause,Bawitdaba,0f37VQs969vZUL4gVfHRV9,0.551,0.939,11,-5.371,1,0.171,0.000239,0.109,0.367,90.592,265840,4,68.0,False
Theory of a Deadman,Scars & Souvenirs (Special Edition),Bad Girlfriend,5m7on0zpnmeAXy72ANrmfU,0.504,0.957,0,-2.657,1,0.0529,0.0,0.187,0.676,135.013,205627,4,68.0,False
Avenged Sevenfold,Nightmare,Nightmare,4UEo1b0wWrtHMC8bVqPiH8,0.554,0.949,2,-4.928,1,0.0787,9.98e-05,0.2,0.233,129.984,374453,4,74.0,False
Skillet,Awake,Monster,2UREu1Y8CO4jXkbvqAtP7g,0.64,0.957,8,-2.336,1,0.0741,0.0,0.0789,0.692,134.992,178013,4,80.0,False
Orgy,Candyass,Blue Monday,5267gVdYWrLoz6ClOhlqmE,0.589,0.696,8,-8.109,1,0.034,3.43e-05,0.0779,0.938,129.833,267000,4,64.0,False
Nine Inch Nails,The Downward Spiral,Closer,39tLc4Xp58Lu4KcWHggeE2,0.559,0.725,10,-8.631,0,0.0426,0.553,0.112,0.501,90.012,373307,4,0.0,False
Puddle Of Mudd,Come Clean,She Hates Me,1uwTmwkjv7wFImfzegvdI6,0.575,0.746,4,-5.393,1,0.0326,0.0,0.768,0.607,109.789,216640,4,0.0,False
Dire Straits,Brothers in Arms,Money for Nothing,4yqtwO7MQIIXqoiRBPHAgR,0.667,0.655,2,-9.339,0,0.0367,0.000894,0.0641,0.657,134.212,506400,4,67.0,False
Dire Straits,Dire Straits,Sultans of Swing,6cr6UDpkjEaMQ80OjWqEBQ,0.73,0.868,5,-7.325,1,0.0288,0.0661,0.318,0.923,148.217,350400,4,70.0,False
Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Stairway to Heaven - Remaster,5CQ30WqJwcep0pYcV4AMNc,0.338,0.34,9,-12.049,0,0.0339,0.0032,0.116,0.197,82.433,482830,4,81.0,False
Led Zeppelin,Led Zeppelin II (1994 Remaster),Whole Lotta Love - 1990 Remaster,0hCB0YR03f6AmQaHbwWDe8,0.412,0.902,9,-11.6,1,0.405,0.131,0.405,0.422,89.74,333893,4,78.0,False
Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Black Dog - Remaster,3qT4bUD1MaWpGrTwcvguhb,0.437,0.864,4,-7.842,0,0.0904,0.0314,0.242,0.749,81.394,295387,4,75.0,False
Led Zeppelin,Led Zeppelin III (Remaster),Immigrant Song - Remaster,78lgmZwycJ3nzsdgmPPGNx,0.564,0.932,11,-10.068,1,0.0554,0.169,0.349,0.619,112.937,146250,4,80.0,False
AC/DC,Back In Black,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,0.31,0.7,9,-5.678,1,0.047,0.00965,0.0828,0.763,188.386,255493,4,85.0,False
Seether,Finding Beauty In Negative Spaces (Bonus Track Version),Fake It,4eAwB5pnKFTmsgc3zWoYO0,0.611,0.95,8,-3.509,1,0.0518,1.59e-06,0.0543,0.607,132.078,193893,4,77.0,False
Chevelle,Wonder What's Next (Expanded Edition),The Red,1gyee1JuFFiP476LQpRMYU,0.509,0.843,1,-3.318,0,0.0488,0.000803,0.348,0.332,140.055,238400,3,72.0,False
System Of A Down,Mezmerize,B.Y.O.B.,0EYOdF5FCkgOJJla8DI2Md,0.538,0.981,1,-2.688,0,0.14,0.0,0.219,0.711,101.414,255467,4,79.0,False
Mudvayne,Lost and Found,Happy?,0INUE1K7cEiE8VH63Rv5RJ,0.546,0.97,5,-2.661,0,0.097,2.08e-05,0.275,0.383,100.065,216427,4,72.0,False
Static-X,Wisconsin Death Trip,Push It,6O7pihLJgeqxUnG7u9oYL2,0.557,0.978,0,-3.965,1,0.0493,4.42e-06,0.287,0.499,149.887,154907,4,67.0,False
Avenged Sevenfold,Hail to the King,Hail to the King,5anCkDvJ17aznvK5TED5uo,0.58,0.916,3,-4.358,0,0.0387,0.0259,0.126,0.683,118.004,305907,4,79.0,False
Treyarch Sound,Call of Duty: Black Ops – Zombies Soundtrack,115,3lpnYiJSFZmtsIM13OyRfa,0.366,0.933,8,-3.808,1,0.172,2.07e-06,0.102,0.677,199.984,228160,4,0.0,False
