artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,is_local
Pujya Rajan Jee,Jai Shri Ram,Humaare Saath Shri Raghunath,127hrjrEX1NskpBsdIrphW,0.502,0.849,3,-7.055,1,0.0381,1.66e-05,0.354,0.866,138.989,272695,4,0.0,False
Sachet Tandon,Ram Siya Ram,Ram Siya Ram,0lKILDCwOjyR54xYhBazuJ,0.39,0.555,1,-9.177,0,0.0331,0.0,0.0929,0.48,158.167,265265,4,71.0,False
Jubin Nautiyal,Mere Ghar Ram Aaye Hain,Mere Ghar Ram Aaye Hain,4afA2YQlZfYzJbfnNoNknK,0.639,0.951,0,-3.108,1,0.0371,3.67e-06,0.126,0.807,107.964,234150,4,71.0,False
Trisha Parui,Sublime Bhajans Vol. 7 (Original),Madhurashtakam,18n4OsNX37mGGZ2OJcDiTf,0.602,0.74,0,-4.381,1,0.0348,0.0,0.259,0.81,89.982,250260,4,54.0,False
Jubin Nautiyal,Shri Krishna Govind Hare Murari,Shri Krishna Govind Hare Murari,58SIEtTjWErr0yEXVBKxvd,0.59,0.632,7,-7.996,1,0.0376,0.0,0.169,0.345,110.0,153003,4,74.0,False
Jubin Nautiyal,Hare Krishna Hare Rama,Hare Krishna Hare Rama,4ECasrEmA3NeiHQpinwZ2A,0.546,0.639,7,-7.94,1,0.0291,0.0,0.29,0.414,100.026,309143,4,66.0,False
Jubin Nautiyal,Govind Bolo,Govind Bolo,5Yk5pn38SvDWN0cIv3lLNz,0.495,0.484,2,-10.923,1,0.0391,0.0,0.104,0.592,126.632,150139,5,58.0,False
Various Artists,,,6HAM3aUeIVp3aRtVD3RBWw,0.618,0.67,4,-7.518,1,0.0317,0.000109,0.249,0.445,91.98,274221,4,0.0,False
Hariharan,Shree Hanuman Chalisa (Hanuman Ashtak),Shree Hanuman Chalisa,6H7fLdt0AeWpuxUKXuXWrx,0.589,0.885,4,-3.4,1,0.035,0.0,0.132,0.831,91.01,586076,4,73.0,False
Various Artists,Hey Gobind Hey Gopal,He Ram He Ram,2lyh5kOAC98ZJikzYSZN8n,0.601,0.276,0,-17.906,1,0.0264,0.0,0.191,0.697,91.56,253000,4,56.0,False
Ismail Darbar,Kisna (Original Motion Picture Soundtrack),Woh Kisna Hai,5Se9PXWc57LRT0zthjI5cG,0.649,0.525,10,-11.94,1,0.0665,1.2e-05,0.17,0.494,101.987,357187,4,61.0,False
Amitabh Bachchan,Sukhkarta Dukhharta,Sukhkarta Dukhharta,6DtPCH3Bnv88ef0lLJqZsB,0.638,0.698,1,-5.142,1,0.0299,0.0,0.29,0.778,104.956,128993,3,57.0,False
Nitin Mukesh,Shree Hanuman Chalisa,Shree Ram Stuti,7FrC6ARNbQJcCFmYM2uRJd,0.744,0.455,7,-4.194,0,0.038,0.0,0.316,0.514,101.144,155124,4,42.0,False
Lakhbir Singh Lakkha,Ram Na Milenge Hanuman Ke Bina,Ram Na Milenge Hanuman Ke Bina,1xOdc792WrnSMJ7ZxTdxQp,0.754,0.732,7,-6.675,0,0.0413,0.0,0.288,0.945,144.964,398480,4,56.0,False
Ravindra Jain,Ravindra Jain Hits Bhajan,Mangal Bhavan Amangal Haari Sitaram Charit,7AvDmVuFAd4V6csXH4dVyV,0.46,0.217,1,-24.157,0,0.0387,0.0,0.33,0.845,52.201,72024,3,46.0,False
Narci,Ram Setu,Ram Darshan,14zTx6i2o5bB5Re8pS2BMd,0.636,0.749,3,-8.297,0,0.117,3.4e-05,0.0813,0.809,80.047,309019,4,65.0,False
Bihari Ji,Radhe Radhe Barsane Wali Radhe,Radhe Radhe Barsane Wali Radhe,5D5WfnGTGbWUwcLzLVTv6Z,0.717,0.624,3,-12.7,0,0.0467,0.0,0.11,0.82,105.993,2693743,4,58.0,False
Ravindra Jain,Bolo Siya Ram Ki Jai,Sitaram Charit Ati Paavan,6StN64DnVZEhluLJM8nu88,0.359,0.255,3,-21.894,0,0.0332,9.3e-06,0.301,0.824,156.412,64296,4,50.0,False
Mohit Lalwani,Tum Prem Ho Reprise,Tum Prem Ho Reprise,598Osn5UUNlFgWxBHXLe3p,0.698,0.449,4,-11.847,1,0.028,3.84e-05,0.0737,0.287,109.973,288545,1,0.0,False
Mohit Lalwani,Samay Samjhayega,Samay Samjhayega,3MhGqG49zBXNTy55c4ZOOz,0.451,0.157,2,-20.268,1,0.0332,0.0001,0.387,0.15,85.943,102483,1,0.0,False
Stephen Sanchez,Until I Found You (Em Beihold Version),Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0.0,0.202,0.342,101.19,176440,3,93.0,False
Coldplay,Parachutes,Yellow,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.000121,0.234,0.285,173.372,266773,4,92.0,False
Ruth B.,Safe Haven,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,1,0.0259,0.0,0.0864,0.454,116.959,233720,3,91.0,False
John Legend,LEGEND,Nervous,1XNAH3h63O1hWFcgyHGbjf,0.545,0.587,2,-4.842,1,0.0634,0.0,0.224,0.359,123.107,188046,4,66.0,False
Forest Blakk,Fall Into Me,Fall Into Me,7Lv78wiIJcKgND9Zi7AIOt,0.45,0.483,2,-6.754,1,0.0572,0.0,0.127,0.206,118.305,226067,4,66.0,False
joan,superglue,superglue,6OJ4kuBYKCdlLwCAELUFVe,0.393,0.623,8,-5.57,1,0.0344,0.0,0.0627,0.309,143.67,245679,4,58.0,False
New West,Those Eyes,Those Eyes,50x1Ic8CaXkYNvjmxe3WXy,0.593,0.352,4,-8.296,1,0.0284,2.22e-05,0.3,0.226,119.988,220750,3,91.0,False
JVKE,this is what ____ feels like (Vol. 1-4),golden hour,5odlY52u43F5BjByhxg7wg,0.515,0.593,4,-4.801,1,0.0322,0.162,0.25,0.153,94.467,209260,3,90.0,False
One Direction,FOUR (Deluxe),Night Changes,5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0.0,0.115,0.37,120.001,226600,4,90.0,False
Taylor Swift,Lover,Lover,1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,7,-7.582,1,0.0919,1.58e-05,0.118,0.453,68.534,221307,4,88.0,False
Ed Sheeran,x (Deluxe Edition),Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.000464,0.0986,0.201,107.989,258987,4,87.0,False
Coldplay,A Rush of Blood to the Head,The Scientist,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,1.46e-05,0.11,0.213,146.277,309600,4,87.0,False
John Legend,Love In The Future (Expanded Edition),All of Me,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0.0,0.132,0.331,119.93,269560,4,87.0,False
Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,7e-06,0.102,0.569,99.048,207133,4,87.0,False
Fujii Kaze,HELP EVER HURT NEVER,Shinunoga E-Wa,0o9zmvc5f3EFApU52PPIyW,0.6,0.76,6,-6.124,0,0.0452,4.09e-05,0.189,0.519,158.078,185573,4,86.0,False
Sam Smith,In The Lonely Hour,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,0.418,0.42,0,-6.444,1,0.0414,6.39e-05,0.11,0.184,84.094,172724,4,86.0,False
Ed Sheeran,x (Deluxe Edition),Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.0,0.184,0.591,78.998,281560,4,85.0,False
Coldplay,X&Y,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.00196,0.113,0.124,138.178,295533,4,86.0,False
girl in red,we fell in love in october / October Passed Me By,we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,0.566,0.366,7,-12.808,1,0.028,0.181,0.155,0.237,129.96,184154,4,85.0,False
Kali Uchis,Por Vida,Melting,2kSb3wYSOV996xA2NSmpck,0.574,0.479,8,-7.776,1,0.0355,0.0803,0.106,0.303,115.263,208854,4,84.0,False
One Direction,FOUR (Deluxe),18,3JjnGLK8IxkNLvo8Lb3KOM,0.681,0.582,6,-7.76,0,0.0313,0.0,0.119,0.221,124.038,248360,4,84.0,False
keshi,GABRIEL,UNDERSTAND,72sfmdpuO5r8cBDgs7MqZZ,0.379,0.208,5,-13.858,1,0.0426,1.05e-06,0.114,0.163,82.085,150520,3,83.0,False
Snow Patrol,Eyes Open,Chasing Cars,5hnyJvgoWiQUYZttV4wXy6,0.56,0.595,9,-4.53,1,0.0274,6.47e-05,0.132,0.144,104.011,267960,4,83.0,False
Alicia Keys,The Diary Of Alicia Keys,If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,0.609,0.444,7,-9.129,1,0.106,6.86e-06,0.104,0.166,118.402,228707,3,83.0,False
Christina Perri,A Thousand Years,A Thousand Years,6lanRgr6wXibZr8KgzXxBl,0.421,0.407,10,-7.445,1,0.0267,0.000961,0.11,0.161,139.028,285120,3,82.0,False
Daniel Caesar,Freudian,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux,0.524,0.364,7,-10.209,1,0.0367,0.0,0.1,0.436,75.24,209831,4,82.0,False
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,0.703,0.444,11,-9.331,1,0.0417,0.0,0.0973,0.712,150.96,242947,4,82.0,False
Kodaline,In A Perfect World (Expanded Edition),All I Want,0NlGoUyOJSuSHmngoibVAs,0.188,0.411,0,-9.733,1,0.0484,0.153,0.0843,0.159,187.376,305747,3,82.0,False
Taylor Swift,Speak Now,Enchanted,10eBRyImhfqVvkiVEGf0N0,0.455,0.623,8,-3.878,1,0.0288,0.000424,0.146,0.208,163.893,352187,4,81.0,False
beabadoobee,Glue Song,Glue Song,3iBgrkexCzVuPy4O9vx7Mf,0.62,0.409,1,-10.146,1,0.0282,0.0542,0.105,0.582,113.946,135067,3,81.0,False
Elvis Presley,Blue Hawaii,Can't Help Falling in Love,44AyOl4qVkzS48vBsbNXaC,0.396,0.293,2,-14.062,1,0.0275,0.000196,0.105,0.343,100.307,182360,3,81.0,False
